METADATA,,,,,,,,,,,,,,
title.en,SERVICE RESTRICTIONS (Recapitulatory list of service restrictions in force relating to telecommunications operation),,,,,,,,,,,,,
title.fr,RESTRICTIONS DE SERVICE (Liste récapitulative des restrictions de service en vigueur relatives à l’exploitation des télécommunications),,,,,,,,,,,,,
title.es,RESTRICCIONES DE SERVICIO (Lista recapitulativa de las restricciones de servicio en vigor relativas a la explotación de las telecomunicaciones),,,,,,,,,,,,,
locale.geographic_area.en,Country/Geographical area,,,,,,,,,,,,,
locale.geographic_area.fr,Países/Zonas geográficas,,,,,,,,,,,,,
locale.geographic_area.es,Pays/Zones géographiques,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATA,,,,,,,,,,,,,,
geographic_area.fr,geographic_area.en,geographic_area.es,restrictions.telex_not_provided[boolean],restrictions.telegram_not_provided[boolean],restrictions.no_collect_calls.mobile[boolean],restrictions.no_collect_calls.payphone[boolean],restrictions.no_collect_calls.audiotex[boolean],restrictions.no_collect_calls.virtual[boolean],restrictions.no_collect_calls.incoming[boolean],restrictions.no_collect_calls.outgoing[boolean],restrictions.no_messenger_dispatch[boolean],notes.en,notes.es,notes.fr
Kenya,Kenya,Kenya,,,,,,,,,,The international telegram messenger delivery services to physical addresses are not accepted.,El servicio internacional de entrega de telegramas por mensajero a direcciones físicas está suprimido,Les services de remise de télégramme international par messager à des adresses physiques ne sont pas acceptés.
Koweït,Kuwait,Kuwait,,,,,,,,,,"Incoming, outgoing and transit telegrams from or to Israel are not accepted.","No se admiten los telegramas con destino u origen en Israel, o en tránsito desde o hacia Israel","Les télégrammes en provenance ou à destination d'Israël ne sont pas acceptés ni à l'arrivée ni au départ, ni en transit. "
Liban,Lebanon,Líbano,,,,,,,,,,"Incoming, outgoing and transit telegrams from or to Israel are not accepted.","No se admiten los telegramas con destino u origen en Israel, o en tránsito desde o hacia Israel","Les télégrammes en provenance ou à destination d'Israël ne sont pas acceptées ni à l'arrivée ni au départ, ni en transit."
Luxembourg,Luxembourg,Luxemburgo,TRUE,TRUE,,,,,,,,The telex service is no longer provided.. The telegram service is no longer provided. EPT announces cancellation of the operator service.,El servicio télex está suprimido. El servicio de telegramas está suprimido. EPT anuncia la cancelación del servicio por operadora ,Le service télex n'est plus assuré. Le service des télégrammes n'est plus assuré. L'EPT annonce la cessation du service opérateur.
Madagascar,Madagascar,Madagascar,,TRUE,,,,,,,,The telegram service is no longer provided,El servicio de telegramas está suprimido,Le service des télégrammes n'est plus assuré.
Malaisie,Malaysia,Malasia,TRUE,,,,,,,,,The telex service is no longer provided.,El servicio télex está suprimido,Le service télex n'est plus assuré.
Malawi,Malawi,Malawi,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Maldives,Maldives,Maldivas,,,,,,,TRUE,TRUE,,Collect calls for both outgoing and incoming are not accepted,No se aceptan llamadas de cobro revertido entrantes ni salientes,Les communications entrantes et sortantes payables à l'arrivée ne sont pas acceptées.
Malte,Malta,Malta,TRUE,TRUE,,,,,,,,The telegram service is no longer provided. The telex service is no longer provided.,El servicio de telegramas está suprimido. El servicio télex está suprimido,Le service des télégrammes n'est plus assuré. Le service télex n'est plus assuré.
Maurice,Mauritius,Mauricio,,,,,,,,,,Letter telegrams (LT) and government letter telegrams (LTF) are no longer admitted to and from Mauritius.,No se aceptan con destino u origen en Mauricio telegramas-carta (LT) ni telegramas-carta de Estado (LTF) ,Les télégrammes-lettres (LT) et les télégrammes-lettres d’Etat (LTF) ne sont plus admis à destination et en provenance de Maurice.
